community_slug,town,query,query_variant,query_rank,candidate_rank,candidate_name,latitude,longitude,country,country_code,admin1,admin2,timezone,population,geocoding_id,geocoding_source,auto_match_status,auto_match_reason,review_status
kanda,Kanda,Kanda,exact,1,1,Kanda Estate,5.578880,-0.187910,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456978,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
kanda,Kanda,"Kanda, Greater Accra",greater_accra,2,1,Kanda Estate,5.578880,-0.187910,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456978,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
kaneshie,Kaneshie,Kaneshie,exact,1,1,Kaneshie,5.571690,-0.237610,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8457206,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
kaneshie-first-light,Kaneshie (First Light),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kanewu-kanele,Kanewu / Kanele,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kasoa,Kasoa,Kasoa,exact,1,1,Kasoa,5.534490,-0.416790,Ghana,GH,Central Region,Awutu Senya East Municipal,Africa/Accra,86753,2296458,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
kasoa-scc-side,Kasoa (SCC side),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kasoa-old-barrier,Kasoa Old Barrier,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kasseh,Kasseh,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kasseh-junction,Kasseh Junction,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
katamanso,Katamanso,Katamanso,exact,1,1,Katamanso,5.747850,-0.081020,Ghana,GH,Greater Accra Region,Tema Metropolitan District,Africa/Accra,,2299736,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
katamanso-ashaiman-stretch,Katamanso–Ashaiman stretch,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
klagon,Klagon,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kokomlemle,Kokomlemle,Kokomlemle,exact,1,1,Kokomlemle,5.575600,-0.205600,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2299465,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
kokomlemle-parts,Kokomlemle (parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kokroko,Kokroko,Kokroko,exact,1,1,Kokroko,5.577350,-0.283710,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,11675664,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
kokroko,Kokroko,Kokroko,exact,1,2,Kokroko,7.684930,-2.042020,Ghana,GH,Bono East,Techiman Municipal District,Africa/Accra,,12105805,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
korle-gonno,Korle Gonno,Korle Gonno,exact,1,1,Korle Gonno,5.532700,-0.226680,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,7281069,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
korle-lagoon-area,Korle Lagoon area,Korle Lagoon area,exact,1,1,Korle Lagoon Area,5.550730,-0.233000,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8457025,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
kpone,Kpone,Kpone,exact,1,1,Kpone,5.688210,0.056220,Ghana,GH,Greater Accra Region,Tema Metropolitan District,Africa/Accra,,2299145,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
kpone,Kpone,Kpone,exact,1,2,Bawalishi,5.854930,-0.107960,Ghana,GH,Greater Accra Region,Tema Metropolitan District,Africa/Accra,,2303305,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
kpone-industrial-area,Kpone Industrial Area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kwabenya,Kwabenya,Kwabenya,exact,1,1,Kwabenya,5.696940,-0.251390,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,11428094,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
kwabenya,Kwabenya,Kwabenya,exact,1,2,Kwabenyan,5.688220,-0.245180,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,2298742,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
kwabenya-parts,Kwabenya (parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
kwashieman,Kwashieman,Kwashieman,exact,1,1,Kwasiman,5.593280,-0.268190,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2298592,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
kwashieman,Kwashieman,"Kwashieman, Greater Accra",greater_accra,2,1,Kwasiman,5.593280,-0.268190,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2298592,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
la-labadi,La (Labadi),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
labone,Labone,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
lakeside,Lakeside,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
lakeside-adenta,Lakeside (Adenta),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
lapaz,Lapaz,Lapaz,exact,1,1,Lapaz,5.607870,-0.248460,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2302320,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
lashibi,Lashibi,Lashibi,exact,1,1,Lashibi,5.684760,-0.040110,Ghana,GH,Greater Accra Region,Ashaiman,Africa/Accra,49223,11428216,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
lebanon,Lebanon,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
lebanon-shared,Lebanon (shared),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
legon-gimpa-bypass,Legon–GIMPA Bypass,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
lister-area,Lister area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
lolonya,Lolonya,Lolonya,exact,1,1,Lolonya,5.791610,0.433140,Ghana,GH,Greater Accra Region,Ada West,Africa/Accra,,2298385,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
maamobi,Maamobi,Maamobi,exact,1,1,Mamobi,5.595430,-0.195290,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2298282,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
maamobi,Maamobi,"Maamobi, Greater Accra",greater_accra,2,1,Mamobi,5.595430,-0.195290,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2298282,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
madina,Madina,Madina,exact,1,1,Medina Estates,5.665800,-0.163070,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,101207,2298330,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
madina,Madina,Madina,exact,1,2,Madina,10.859800,-2.034020,Ghana,GH,Upper West Region,Sissala West,Africa/Accra,,12087321,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
madina,Madina,"Madina, Greater Accra",greater_accra,2,1,Medina Estates,5.665800,-0.163070,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,101207,2298330,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
mallam,Mallam,Mallam,exact,1,1,Mallam,5.571180,-0.292770,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,8198918,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
mallam-junction,Mallam Junction,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
mamobi,Mamobi,Mamobi,exact,1,1,Mamobi,5.595430,-0.195290,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2298282,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
mamprobi,Mamprobi,Mamprobi,exact,1,1,Mamprobi,5.536540,-0.241830,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,7281070,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
manet,Manet,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
manhean,Manhean,Manhean,exact,1,1,Manhean,5.643860,-0.345590,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,2298219,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
mataheko,Mataheko,Mataheko,exact,1,1,Mataheko,5.564220,-0.250020,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,7281066,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
medie,Medie,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
medie-border,Medie (border),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
michel-camp-area,Michel Camp area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
new-achimota,New Achimota,New Achimota,exact,1,1,New Achimota,5.626570,-0.258070,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,37116,8541923,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
new-ningo,New Ningo,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
nima,Nima,Nima,exact,1,1,Nima,5.581320,-0.198160,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2297380,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
nima,Nima,Nima,exact,1,2,Nimanda,5.900000,-1.250000,Ghana,GH,Central Region,Assin North,Africa/Accra,,2297379,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
nima-downside,Nima Downside,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
north-larbone,North Larbone,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
north-ridge,North Ridge,North Ridge,exact,1,1,North Ridge,5.566110,-0.191040,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8469578,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
nungua,Nungua,Nungua,exact,1,1,Nungua,5.601050,-0.077130,Ghana,GH,Greater Accra Region,Ledzekuku-Krowor,Africa/Accra,70483,2296969,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
nungua,Nungua,Nungua,exact,1,2,Nungua Old Town,5.587580,-0.078290,Ghana,GH,Greater Accra Region,,Africa/Accra,,8541926,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
oblogo,Oblogo,Oblogo,exact,1,1,Oblogo,5.559970,-0.312220,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,2296670,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
odawna,Odawna,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
odorkor,Odorkor,Odorkor,exact,1,1,Odorkor,5.579030,-0.261230,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,11282129,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
ofankor,Ofankor,Ofankor,exact,1,1,Ofankor,5.655960,-0.269210,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,2296454,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
ofankor,Ofankor,Ofankor,exact,1,2,Ofankor,5.587900,-0.449870,Ghana,GH,Central Region,Awutu Senya East Municipal,Africa/Accra,,2296459,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
ofankor,Ofankor,Ofankor,exact,1,3,Ofankor,5.650000,-2.666670,Ghana,GH,Western North,Aowin/Suaman,Africa/Accra,,11609802,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
ofankor-barrier,Ofankor Barrier,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
old-barrier,Old Barrier,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
old-barrier-weija-gbawe,Old Barrier (Weija-Gbawe),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
old-ningo,Old Ningo,Old Ningo,exact,1,1,Old Ningo,5.746120,0.185650,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2296338,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
osu-parts,Osu (parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
osudoku,Osudoku,Osudoku,exact,1,1,Osudoku,6.027000,0.179640,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2296252,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
oyarifa,Oyarifa,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
pantang,Pantang,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
parakuo,Parakuo,Parakuo,exact,1,1,Parakuo Estates,5.637280,-0.228270,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,8456986,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
parakuo,Parakuo,"Parakuo, Greater Accra",greater_accra,2,1,Parakuo Estates,5.637280,-0.228270,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,,8456986,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
community-25-parts-dup,Community 25 (parts) dup,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
pokuase,Pokuase,Pokuase,exact,1,1,Pokuase,5.690760,-0.283390,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,2295911,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
pokuase-northern-parts,Pokuase (northern parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
polo-grounds,Polo Grounds,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
polo-park-alajo,Polo Park (Alajo),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
prampram,Prampram,Prampram,exact,1,1,Prampram,5.715150,0.104940,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2295858,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
prampram-border,Prampram (border),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ringway-estates,Ringway Estates,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
roman-ridge,Roman Ridge,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
russia-dansoman,Russia (Dansoman),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
sahara-dansoman,Sahara (Dansoman),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
sakaman,Sakaman,Sakaman,exact,1,1,Sakaman,5.566990,-0.274460,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,11675666,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
sakumono-community-13,Sakumono (Community 13),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
scc-kasoa-scc-highway,SCC / Kasoa–SCC Highway,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
sege,Sege,Sege,exact,1,1,Sege,5.877030,0.359460,Ghana,GH,Greater Accra Region,Ada West,Africa/Accra,,2295471,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
sege,Sege,Sege,exact,1,2,Sege,5.850000,0.350000,Ghana,GH,Greater Accra Region,Shai Osudoku District,Africa/Accra,,2295472,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
sege,Sege,Sege,exact,1,3,Sege,5.836420,0.367050,Ghana,GH,Greater Accra Region,Ada West,Africa/Accra,,2295473,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
sege,Sege,Sege,exact,1,4,Sege,5.816670,0.350000,Ghana,GH,Greater Accra Region,Ada West,Africa/Accra,,2295474,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
sege,Sege,Sege,exact,1,5,Segera,7.731950,-2.863940,Ghana,GH,Bono,Jaman South,Africa/Accra,,2293656,open-meteo,manual_review,Multiple distinct Ghana geocoding results matched the town name.,manual_review
shai-hills,Shai Hills,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
shai-hills-border-area,Shai Hills border area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
shiashie-ghana-standards-authority-area,Shiashie (Ghana Standards Authority area),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
south-la,South La,South La,exact,1,1,South La Estate,5.554160,-0.163430,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456970,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
south-la,South La,"South La, Greater Accra",greater_accra,2,1,South La Estate,5.554160,-0.163430,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,8456970,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
south-ridge,South Ridge,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
sowutuom,Sowutuom,Sowutuom,exact,1,1,Sotuom,5.617100,-0.273810,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,11675663,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
sowutuom,Sowutuom,"Sowutuom, Greater Accra",greater_accra,2,1,Sotuom,5.617100,-0.273810,Ghana,GH,Greater Accra Region,Ga West,Africa/Accra,,11675663,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
spintex-road-corridor,Spintex Road corridor,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ssnit-flats,SSNIT Flats,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ssnit-flats-sakumono,SSNIT Flats (Sakumono),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
sukura,Sukura,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
taifa,Taifa,Taifa,exact,1,1,Taifa,5.658250,-0.252230,Ghana,GH,Greater Accra Region,Ga East,Africa/Accra,42623,12640508,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
tema-beach-road-area,Tema Beach Road area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
tema-industrial-area-light-and-heavy,Tema Industrial Area (Light & Heavy),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
tema-motorway-area,Tema Motorway area,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
tema-new-town,Tema New Town,Tema New Town,exact,1,1,Tema New Town,5.653960,0.026400,Ghana,GH,Greater Accra Region,Tema Metropolitan District,Africa/Accra,95837,11205476,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
tema-accra-beach-road,Tema–Accra Beach Road,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
tesano,Tesano,Tesano,exact,1,1,Tesano,5.600770,-0.230100,Ghana,GH,Greater Accra Region,Accra,Africa/Accra,,2294667,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
teshie,Teshie,Teshie,exact,1,1,Teshie,5.583650,-0.107220,Ghana,GH,Greater Accra Region,Ledzekuku-Krowor,Africa/Accra,144013,2294665,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
teshie,Teshie,Teshie,exact,1,2,Teshie Manheam,5.606090,-0.107580,Ghana,GH,Greater Accra Region,Ledzekuku-Krowor,Africa/Accra,,8456997,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
teshie-bush-road,Teshie Bush Road,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
teshie-nungua-estates,Teshie Nungua Estates,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
tetegu,Tetegu,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
totope,Totope,Totope,exact,1,1,Totope,5.784940,0.526550,Ghana,GH,Greater Accra Region,Ada East,Africa/Accra,,2294437,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
tse-addo,Tse Addo,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
ussher-town,Ussher Town,,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
weija,Weija,Weija,exact,1,1,Weidza,5.571840,-0.334630,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,2294093,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
weija,Weija,"Weija, Greater Accra",greater_accra,2,1,Weidza,5.571840,-0.334630,Ghana,GH,Greater Accra Region,Ga South,Africa/Accra,,2294093,open-meteo,manual_review,No unambiguous exact Ghana geocoding match was found.,manual_review
weija-parts,Weija (parts),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
zenu,Zenu,Zenu,exact,1,1,Zenu,10.800000,-1.683330,Ghana,GH,Upper West Region,Sissala East,Africa/Accra,,2293659,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,manual_review
zenu,Zenu,Zenu,exact,1,2,Zenu,5.720060,-0.053160,Ghana,GH,Greater Accra Region,Tema Metropolitan District,Africa/Accra,,2293660,open-meteo,approved,Single unambiguous Ghana geocoding result matched the exact town name.,approved
zenu-shared,Zenu (shared),,,,,,,,,,,,,,,open-meteo,no_result,Open-Meteo returned no Ghana geocoding candidates for either query.,no_result
